CName,ContextKey,MemberCode,IsRowKey,DefaultValue
A10.02_027_010,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFIdentification,AIFIdentifierSEDOL,0,
A10.02_028_010,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFIdentification,AIFIdentifierTicker,0,
A10.02_029_010,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFIdentification,AIFIdentifierRIC,0,
A10.02_030_010,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFIdentification,AIFIdentifierECB,0,
A10.02_031_010,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFIdentification.OldAIFIdentifierNCA,ReportingMemberState,0,
A10.02_032_010,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFIdentification.OldAIFIdentifierNCA,AIFNationalCode,0,
A10.03.a_033_010,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo,ShareClassFlag,0,
A10.03.b_999_034_xkey,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.ShareClassIdentification.ShareClassIdentifier,ShareClassNationalCode,1,
A10.03.b_999_035,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.ShareClassIdentification.ShareClassIdentifier,ShareClassIdentifierISIN,0,
A10.03.b_999_036,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.ShareClassIdentification.ShareClassIdentifier,ShareClassIdentifierSEDOL,0,
A10.03.b_999_037,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.ShareClassIdentification.ShareClassIdentifier,ShareClassIdentifierCUSIP,0,
A10.03.b_999_038,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.ShareClassIdentification.ShareClassIdentifier,ShareClassIdentifierTicker,0,
A10.03.b_999_039,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.ShareClassIdentification.ShareClassIdentifier,ShareClassIdentifierRIC,0,
A10.03.b_999_040,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.ShareClassIdentification.ShareClassIdentifier,ShareClassName,0,
A10.04.a_041_010,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription,AIFMasterFeederStatus,0,
A10.04.b_999_042_xkey,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.MasterAIFsIdentification.MasterAIFIdentification,AIFName,1,
A10.04.b_999_043,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.MasterAIFsIdentification.MasterAIFIdentification.AIFIdentifierNCA,ReportingMemberState,0,
A10.04.b_999_044,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.MasterAIFsIdentification.MasterAIFIdentification.AIFIdentifierNCA,AIFNationalCode,0,
A10.05_999_045_xkey,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.PrimeBrokers.PrimeBrokerIdentification,EntityName,1,
A10.05_999_046,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.PrimeBrokers.PrimeBrokerIdentification,EntityIdentificationLEI,0,
A10.05_999_047,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.PrimeBrokers.PrimeBrokerIdentification,EntityIdentificationBIC,0,
A10.06_048_010,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.AIFBaseCurrencyDescription,AUMAmountInBaseCurrency,0,
A10.06_049_010,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.AIFBaseCurrencyDescription,BaseCurrency,0,
A10.06_050_010,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.AIFBaseCurrencyDescription,FXEURRate,0,
A10.06_051_010,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.AIFBaseCurrencyDescription,FXEURReferenceRateType,0,
A10.06_052_010,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.AIFBaseCurrencyDescription,FXEUROtherReferenceRateDescription,0,
A10.06_053_010,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription,AIFNetAssetValue,0,
A10.07_054_010,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription,FirstFundingSourceCountry,0,
